predador	presa	trat	coldagua	densidade	npresas	mortas
lestes	paggi	high	+	-	1	0
lestes	paggi	high	+	-	1	1
lestes	paggi	high	+	-	1	1
lestes	paggi	high	+	-	1	1
lestes	paggi	high	+	-	1	1
lestes	paggi	high	+	-	1	1
lestes	paggi	high	+	-	1	0
lestes	paggi	low	-	-	1	1
lestes	paggi	low	-	-	1	1
lestes	paggi	low	-	-	1	1
lestes	paggi	low	-	-	1	0
lestes	paggi	low	-	-	1	0
lestes	paggi	low	-	-	1	0
lestes	paggi	low	-	-	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	comp	-	+	1	1
lestes	paggi	high	+	-	2	2
lestes	paggi	high	+	-	2	2
lestes	paggi	high	+	-	2	1
lestes	paggi	high	+	-	2	0
lestes	paggi	high	+	-	2	2
lestes	paggi	high	+	-	2	0
lestes	paggi	high	+	-	2	0
lestes	paggi	low	-	-	2	2
lestes	paggi	low	-	-	2	2
lestes	paggi	low	-	-	2	1
lestes	paggi	low	-	-	2	0
lestes	paggi	low	-	-	2	0
lestes	paggi	low	-	-	2	2
lestes	paggi	low	-	-	2	1
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	comp	-	+	2	2
lestes	paggi	high	+	-	4	4
lestes	paggi	high	+	-	4	0
lestes	paggi	high	+	-	4	4
lestes	paggi	high	+	-	4	2
lestes	paggi	high	+	-	4	4
lestes	paggi	high	+	-	4	3
lestes	paggi	high	+	-	4	1
lestes	paggi	low	-	-	4	3
lestes	paggi	low	-	-	4	3
lestes	paggi	low	-	-	4	2
lestes	paggi	low	-	-	4	1
